state,TotalSqMile,TotalSqKm,LandAreaSqMi
Alabama,52420,135767,50645
Alaska,665384,1723337,570641
Arizona,113990,295234,113594
Arkansas,53179,137732,52035
California,163695,423967,155779
Colorado,104094,269601,103642
Connecticut,5543,14357,4842
Delaware,2489,6446,1949
District of Columbia,68,177,61
Florida,65758,170312,53625
Georgia,59425,153910,57513
Hawaii,10932,28313,6423
Idaho,83569,216443,82643
Illinois,57914,149995,55519
Indiana,36420,94326,35826
Iowa,56273,145746,55857
Kansas,82278,213100,81759
Kentucky,40408,104656,39486
Louisiana,52378,135659,43204
Maine,35380,91633,30843
Maryland,12406,32131,9707
Massachusetts,10554,27336,7800
Michigan,96714,250487,56539
Minnesota,86936,225163,79627
Mississippi,48432,125438,46923
Missouri,69707,180540,68742
Montana,147040,380831,145546
Nebraska,77348,200330,76824
Nevada,110572,286380,109781
New Hampshire,9349,24214,8953
New Jersey,8723,22591,7354
New Mexico,121590,314917,121298
New York,54555,141297,47126
North Carolina,53819,139391,48618
North Dakota,70698,183108,69001
Ohio,44826,116098,40861
Oklahoma,69899,181037,68595
Oregon,98379,254799,95988
Pennsylvania,46054,119280,44743
Rhode Island,1545,4001,1034
South Carolina,32020,82933,30061
South Dakota,77116,199729,75811
Tennessee,42144,109153,41235
Texas,268596,695662,261232
Utah,84897,219882,82170
Vermont,9616,24906,9217
Virginia,42775,110787,39490
Washington,71298,184661,66456
West Virginia,24230,62756,24038
Wisconsin,65496,169635,54158
Wyoming,97813,253335,97093